ProductId,name,main_category,sub_category,ratings,no_of_ratings,Price,Review,text,image_url
P000001,Wireless Over-Ear Headphones - Foldable Design,electronics,headphones,3.2,3488,292.93,"Did not live up to the hype, a bit disappointed.","Wireless Over-Ear Headphones - Foldable Design headphones electronics foldable design crisp sound noise cancelling Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Headphones+1&font=montserrat&bg=efefef&txt=333
P000002,Wireless Over-Ear Headphones - Comfortable Fit,electronics,headphones,3.7,2254,278.76,"Well made and reliable, would buy again without hesitation.","Wireless Over-Ear Headphones - Comfortable Fit headphones electronics comfortable fit noise cancelling clear microphone Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Headphones+2&font=montserrat&bg=efefef&txt=333
P000003,Wireless Over-Ear Headphones - Comfortable Fit,electronics,headphones,4.1,1140,28.51,Excellent quality and does exactly what it promises.,Wireless Over-Ear Headphones - Comfortable Fit headphones electronics comfortable fit clear microphone long battery life Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Headphones+3&font=montserrat&bg=efefef&txt=333
P000004,Wireless Over-Ear Headphones - Deep Bass,electronics,headphones,4.9,1775,269.01,"Stopped working after a short while, not great.","Wireless Over-Ear Headphones - Deep Bass headphones electronics deep bass noise cancelling clear microphone Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Headphones+4&font=montserrat&bg=efefef&txt=333
P000005,Wireless Over-Ear Headphones - Noise Cancelling,electronics,headphones,3.3,223,208.08,Excellent quality and does exactly what it promises.,Wireless Over-Ear Headphones - Noise Cancelling headphones electronics noise cancelling clear microphone comfortable fit Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Headphones+5&font=montserrat&bg=efefef&txt=333
P000006,Wireless Over-Ear Headphones - Clear Microphone,electronics,headphones,3.9,1855,64.95,"Well made and reliable, would buy again without hesitation.","Wireless Over-Ear Headphones - Clear Microphone headphones electronics clear microphone noise cancelling long battery life Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Headphones+6&font=montserrat&bg=efefef&txt=333
P000007,Noise-Cancelling Earbuds - Noise Cancelling,electronics,headphones,3.9,3350,251.48,Excellent quality and does exactly what it promises.,Noise-Cancelling Earbuds - Noise Cancelling headphones electronics noise cancelling long battery life crisp sound Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Headphones+7&font=montserrat&bg=efefef&txt=333
P000008,Noise-Cancelling Earbuds - Crisp Sound,electronics,headphones,3.8,4024,93.62,"Did not live up to the hype, a bit disappointed.","Noise-Cancelling Earbuds - Crisp Sound headphones electronics crisp sound noise cancelling comfortable fit Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Headphones+8&font=montserrat&bg=efefef&txt=333
P000009,Noise-Cancelling Earbuds - Foldable Design,electronics,headphones,4.6,41,202.81,"Well made and reliable, would buy again without hesitation.","Noise-Cancelling Earbuds - Foldable Design headphones electronics foldable design noise cancelling deep bass Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Headphones+9&font=montserrat&bg=efefef&txt=333
P000010,Noise-Cancelling Earbuds - Long Battery Life,electronics,headphones,3.3,2845,43.21,Excellent quality and does exactly what it promises.,Noise-Cancelling Earbuds - Long Battery Life headphones electronics long battery life noise cancelling deep bass Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Headphones+10&font=montserrat&bg=efefef&txt=333
P000011,Noise-Cancelling Earbuds - Long Battery Life,electronics,headphones,4.3,3826,170.54,Decent product overall but has a few minor annoyances.,Noise-Cancelling Earbuds - Long Battery Life headphones electronics long battery life foldable design noise cancelling Decent product overall but has a few minor annoyances.,https://placehold.co/400x300/png?text=Headphones+11&font=montserrat&bg=efefef&txt=333
P000012,Noise-Cancelling Earbuds - Clear Microphone,electronics,headphones,3.4,2186,128.47,"Great value for the price, highly recommend to anyone.","Noise-Cancelling Earbuds - Clear Microphone headphones electronics clear microphone comfortable fit crisp sound Great value for the price, highly recommend to anyone.",https://placehold.co/400x300/png?text=Headphones+12&font=montserrat&bg=efefef&txt=333
P000013,Studio Monitor Headphones - Crisp Sound,electronics,headphones,3.6,1410,201.96,"Well made and reliable, would buy again without hesitation.","Studio Monitor Headphones - Crisp Sound headphones electronics crisp sound clear microphone noise cancelling Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Headphones+13&font=montserrat&bg=efefef&txt=333
P000014,Studio Monitor Headphones - Crisp Sound,electronics,headphones,4.6,2034,58.42,"Works fine, though the build quality could be better.","Studio Monitor Headphones - Crisp Sound headphones electronics crisp sound comfortable fit foldable design Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Headphones+14&font=montserrat&bg=efefef&txt=333
P000015,Studio Monitor Headphones - Foldable Design,electronics,headphones,3.3,2312,155.3,"Good enough for the price, not amazing but does the job.","Studio Monitor Headphones - Foldable Design headphones electronics foldable design crisp sound deep bass Good enough for the price, not amazing but does the job.",https://placehold.co/400x300/png?text=Headphones+15&font=montserrat&bg=efefef&txt=333
P000016,Studio Monitor Headphones - Crisp Sound,electronics,headphones,3.6,1908,192.78,"Absolutely love this, exceeded my expectations and works perfectly.","Studio Monitor Headphones - Crisp Sound headphones electronics crisp sound noise cancelling comfortable fit Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Headphones+16&font=montserrat&bg=efefef&txt=333
P000017,Studio Monitor Headphones - Long Battery Life,electronics,headphones,4.8,4809,212.92,"Great value for the price, highly recommend to anyone.","Studio Monitor Headphones - Long Battery Life headphones electronics long battery life foldable design comfortable fit Great value for the price, highly recommend to anyone.",https://placehold.co/400x300/png?text=Headphones+17&font=montserrat&bg=efefef&txt=333
P000018,Studio Monitor Headphones - Deep Bass,electronics,headphones,3.9,3585,88.95,"Did not live up to the hype, a bit disappointed.","Studio Monitor Headphones - Deep Bass headphones electronics deep bass long battery life clear microphone Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Headphones+18&font=montserrat&bg=efefef&txt=333
P000019,Bluetooth Sport Earphones - Clear Microphone,electronics,headphones,3.6,1015,177.97,"A game changer for my daily routine, so glad I bought it.","Bluetooth Sport Earphones - Clear Microphone headphones electronics clear microphone crisp sound comfortable fit A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Headphones+19&font=montserrat&bg=efefef&txt=333
P000020,Bluetooth Sport Earphones - Deep Bass,electronics,headphones,3.9,3598,191.92,"Did not live up to the hype, a bit disappointed.","Bluetooth Sport Earphones - Deep Bass headphones electronics deep bass long battery life comfortable fit Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Headphones+20&font=montserrat&bg=efefef&txt=333
P000021,Bluetooth Sport Earphones - Crisp Sound,electronics,headphones,3.1,2081,153.26,"A game changer for my daily routine, so glad I bought it.","Bluetooth Sport Earphones - Crisp Sound headphones electronics crisp sound foldable design comfortable fit A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Headphones+21&font=montserrat&bg=efefef&txt=333
P000022,Bluetooth Sport Earphones - Noise Cancelling,electronics,headphones,3.3,2940,278.28,"Absolutely love this, exceeded my expectations and works perfectly.","Bluetooth Sport Earphones - Noise Cancelling headphones electronics noise cancelling deep bass crisp sound Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Headphones+22&font=montserrat&bg=efefef&txt=333
P000023,Bluetooth Sport Earphones - Noise Cancelling,electronics,headphones,4.9,118,149.87,Decent product overall but has a few minor annoyances.,Bluetooth Sport Earphones - Noise Cancelling headphones electronics noise cancelling foldable design comfortable fit Decent product overall but has a few minor annoyances.,https://placehold.co/400x300/png?text=Headphones+23&font=montserrat&bg=efefef&txt=333
P000024,Bluetooth Sport Earphones - Noise Cancelling,electronics,headphones,4.9,2456,175.8,"A game changer for my daily routine, so glad I bought it.","Bluetooth Sport Earphones - Noise Cancelling headphones electronics noise cancelling crisp sound long battery life A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Headphones+24&font=montserrat&bg=efefef&txt=333
P000025,Gaming Headset with Mic - Foldable Design,electronics,headphones,3.9,2605,16.27,Excellent quality and does exactly what it promises.,Gaming Headset with Mic - Foldable Design headphones electronics foldable design clear microphone long battery life Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Headphones+25&font=montserrat&bg=efefef&txt=333
P000026,Gaming Headset with Mic - Deep Bass,electronics,headphones,3.2,2772,204.95,"Great value for the price, highly recommend to anyone.","Gaming Headset with Mic - Deep Bass headphones electronics deep bass noise cancelling crisp sound Great value for the price, highly recommend to anyone.",https://placehold.co/400x300/png?text=Headphones+26&font=montserrat&bg=efefef&txt=333
P000027,Gaming Headset with Mic - Crisp Sound,electronics,headphones,3.2,3844,275.64,"Good enough for the price, not amazing but does the job.","Gaming Headset with Mic - Crisp Sound headphones electronics crisp sound foldable design deep bass Good enough for the price, not amazing but does the job.",https://placehold.co/400x300/png?text=Headphones+27&font=montserrat&bg=efefef&txt=333
P000028,Gaming Headset with Mic - Deep Bass,electronics,headphones,4.7,1857,244.39,"Works fine, though the build quality could be better.","Gaming Headset with Mic - Deep Bass headphones electronics deep bass foldable design noise cancelling Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Headphones+28&font=montserrat&bg=efefef&txt=333
P000029,Gaming Headset with Mic - Noise Cancelling,electronics,headphones,3.5,2577,281.45,"A game changer for my daily routine, so glad I bought it.","Gaming Headset with Mic - Noise Cancelling headphones electronics noise cancelling deep bass foldable design A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Headphones+29&font=montserrat&bg=efefef&txt=333
P000030,Gaming Headset with Mic - Clear Microphone,electronics,headphones,4.8,4961,227.1,"Well made and reliable, would buy again without hesitation.","Gaming Headset with Mic - Clear Microphone headphones electronics clear microphone comfortable fit crisp sound Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Headphones+30&font=montserrat&bg=efefef&txt=333
P000031,6.5in Android Smartphone - Sleek Design,electronics,smartphones,4.5,1583,201.88,"Works fine, though the build quality could be better.","6.5in Android Smartphone - Sleek Design smartphones electronics sleek design all-day battery bright display Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Smartphones+31&font=montserrat&bg=efefef&txt=333
P000032,6.5in Android Smartphone - Expandable Storage,electronics,smartphones,4.9,1315,79.88,"Works fine, though the build quality could be better.","6.5in Android Smartphone - Expandable Storage smartphones electronics expandable storage sleek design bright display Works fine, though the build quality could be better.",https://placehold.co/400x300/png?text=Smartphones+32&font=montserrat&bg=efefef&txt=333
P000033,6.5in Android Smartphone - Fast Processor,electronics,smartphones,4.2,900,263.62,"A game changer for my daily routine, so glad I bought it.","6.5in Android Smartphone - Fast Processor smartphones electronics fast processor sleek design expandable storage A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Smartphones+33&font=montserrat&bg=efefef&txt=333
P000034,6.5in Android Smartphone - Bright Display,electronics,smartphones,4.0,4859,51.73,"Did not live up to the hype, a bit disappointed.","6.5in Android Smartphone - Bright Display smartphones electronics bright display sleek design fast processor Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Smartphones+34&font=montserrat&bg=efefef&txt=333
P000035,6.5in Android Smartphone - Fast Processor,electronics,smartphones,3.2,3389,156.84,"Absolutely love this, exceeded my expectations and works perfectly.","6.5in Android Smartphone - Fast Processor smartphones electronics fast processor bright display all-day battery Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Smartphones+35&font=montserrat&bg=efefef&txt=333
P000036,6.5in Android Smartphone - Expandable Storage,electronics,smartphones,4.4,4021,224.31,"Well made and reliable, would buy again without hesitation.","6.5in Android Smartphone - Expandable Storage smartphones electronics expandable storage all-day battery sleek design Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Smartphones+36&font=montserrat&bg=efefef&txt=333
P000037,Compact 5G Phone - Great Camera,electronics,smartphones,3.6,1990,151.69,"Did not live up to the hype, a bit disappointed.","Compact 5G Phone - Great Camera smartphones electronics great camera fast processor all-day battery Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Smartphones+37&font=montserrat&bg=efefef&txt=333
P000038,Compact 5G Phone - Great Camera,electronics,smartphones,3.0,4624,171.01,"Well made and reliable, would buy again without hesitation.","Compact 5G Phone - Great Camera smartphones electronics great camera all-day battery bright display Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Smartphones+38&font=montserrat&bg=efefef&txt=333
P000039,Compact 5G Phone - Expandable Storage,electronics,smartphones,4.9,2098,182.85,"A game changer for my daily routine, so glad I bought it.","Compact 5G Phone - Expandable Storage smartphones electronics expandable storage all-day battery fast processor A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Smartphones+39&font=montserrat&bg=efefef&txt=333
P000040,Compact 5G Phone - Sleek Design,electronics,smartphones,3.0,3924,41.65,"A game changer for my daily routine, so glad I bought it.","Compact 5G Phone - Sleek Design smartphones electronics sleek design fast processor expandable storage A game changer for my daily routine, so glad I bought it.",https://placehold.co/400x300/png?text=Smartphones+40&font=montserrat&bg=efefef&txt=333
P000041,Compact 5G Phone - Sleek Design,electronics,smartphones,4.2,2656,261.64,"Great value for the price, highly recommend to anyone.","Compact 5G Phone - Sleek Design smartphones electronics sleek design bright display expandable storage Great value for the price, highly recommend to anyone.",https://placehold.co/400x300/png?text=Smartphones+41&font=montserrat&bg=efefef&txt=333
P000042,Compact 5G Phone - Bright Display,electronics,smartphones,4.3,2132,261.57,"Well made and reliable, would buy again without hesitation.","Compact 5G Phone - Bright Display smartphones electronics bright display all-day battery sleek design Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Smartphones+42&font=montserrat&bg=efefef&txt=333
P000043,Budget Dual-SIM Phone - Great Camera,electronics,smartphones,4.6,3731,40.53,"Well made and reliable, would buy again without hesitation.","Budget Dual-SIM Phone - Great Camera smartphones electronics great camera all-day battery bright display Well made and reliable, would buy again without hesitation.",https://placehold.co/400x300/png?text=Smartphones+43&font=montserrat&bg=efefef&txt=333
P000044,Budget Dual-SIM Phone - Great Camera,electronics,smartphones,3.6,4124,51.72,"Absolutely love this, exceeded my expectations and works perfectly.","Budget Dual-SIM Phone - Great Camera smartphones electronics great camera all-day battery fast processor Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Smartphones+44&font=montserrat&bg=efefef&txt=333
P000045,Budget Dual-SIM Phone - Sleek Design,electronics,smartphones,3.2,772,16.13,Excellent quality and does exactly what it promises.,Budget Dual-SIM Phone - Sleek Design smartphones electronics sleek design expandable storage all-day battery Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Smartphones+45&font=montserrat&bg=efefef&txt=333
P000046,Budget Dual-SIM Phone - Bright Display,electronics,smartphones,4.4,2957,124.15,Excellent quality and does exactly what it promises.,Budget Dual-SIM Phone - Bright Display smartphones electronics bright display fast processor great camera Excellent quality and does exactly what it promises.,https://placehold.co/400x300/png?text=Smartphones+46&font=montserrat&bg=efefef&txt=333
P000047,Budget Dual-SIM Phone - All-Day Battery,electronics,smartphones,3.1,4256,62.63,"Stopped working after a short while, not great.","Budget Dual-SIM Phone - All-Day Battery smartphones electronics all-day battery expandable storage bright display Stopped working after a short while, not great.",https://placehold.co/400x300/png?text=Smartphones+47&font=montserrat&bg=efefef&txt=333
P000048,Budget Dual-SIM Phone - Expandable Storage,electronics,smartphones,3.1,2084,118.35,"Good enough for the price, not amazing but does the job.","Budget Dual-SIM Phone - Expandable Storage smartphones electronics expandable storage bright display all-day battery Good enough for the price, not amazing but does the job.",https://placehold.co/400x300/png?text=Smartphones+48&font=montserrat&bg=efefef&txt=333
P000049,Flagship Camera Phone - Great Camera,electronics,smartphones,4.8,264,38.74,"Did not live up to the hype, a bit disappointed.","Flagship Camera Phone - Great Camera smartphones electronics great camera expandable storage all-day battery Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Smartphones+49&font=montserrat&bg=efefef&txt=333
P000050,Flagship Camera Phone - Sleek Design,electronics,smartphones,4.6,4011,196.32,"Did not live up to the hype, a bit disappointed.","Flagship Camera Phone - Sleek Design smartphones electronics sleek design all-day battery expandable storage Did not live up to the hype, a bit disappointed.",https://placehold.co/400x300/png?text=Smartphones+50&font=montserrat&bg=efefef&txt=333
P000051,Flagship Camera Phone - Sleek Design,electronics,smartphones,4.7,2573,144.21,Decent product overall but has a few minor annoyances.,Flagship Camera Phone - Sleek Design smartphones electronics sleek design all-day battery great camera Decent product overall but has a few minor annoyances.,https://placehold.co/400x300/png?text=Smartphones+51&font=montserrat&bg=efefef&txt=333
P000052,Flagship Camera Phone - Sleek Design,electronics,smartphones,4.0,703,130.9,"Absolutely love this, exceeded my expectations and works perfectly.","Flagship Camera Phone - Sleek Design smartphones electronics sleek design all-day battery bright display Absolutely love this, exceeded my expectations and works perfectly.",https://placehold.co/400x300/png?text=Smartphones+52&font=montserrat&bg=efefef&txt=333
