ProductId,name,brand,main_category,sub_category,ratings,no_of_ratings,Price,Review,image,text
P000001,NovaTech Wireless Over-Ear Headphones - Comfortable Fit,NovaTech,electronics,headphones,3.2,4214,306.37,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000001/300/300,"NovaTech Wireless Over-Ear Headphones - Comfortable Fit headphones electronics NovaTech comfortable fit foldable design clear microphone Well made and reliable, would buy again without hesitation."
P000002,Pulse Noise-Cancelling Earbuds - Foldable Design,Pulse,electronics,headphones,4.9,2969,260.4,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000002/300/300,"Pulse Noise-Cancelling Earbuds - Foldable Design headphones electronics Pulse foldable design noise cancelling comfortable fit A game changer for my daily routine, so glad I bought it."
P000003,Kestrel Studio Monitor Headphones - Foldable Design,Kestrel,electronics,headphones,3.1,6867,255.61,"A game changer for my daily routine, so glad I bought it.",https://picsum.photos/seed/P000003/300/300,"Kestrel Studio Monitor Headphones - Foldable Design headphones electronics Kestrel foldable design noise cancelling comfortable fit A game changer for my daily routine, so glad I bought it."
P000004,Meridian Bluetooth Sport Earphones - Foldable Design,Meridian,electronics,headphones,4.6,7145,84.3,"Stopped working after a short while, not great.",https://picsum.photos/seed/P000004/300/300,"Meridian Bluetooth Sport Earphones - Foldable Design headphones electronics Meridian foldable design crisp sound noise cancelling Stopped working after a short while, not great."
P000005,Kestrel Gaming Headset with Mic - Crisp Sound,Kestrel,electronics,headphones,4.5,2936,135.72,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000005/300/300,"Kestrel Gaming Headset with Mic - Crisp Sound headphones electronics Kestrel crisp sound long battery life clear microphone Good enough for the price, not amazing but does the job."
P000006,Pulse 6.5in Android Smartphone - All-Day Battery,Pulse,electronics,smartphones,4.0,1043,96.95,Excellent quality and does exactly what it promises.,https://picsum.photos/seed/P000006/300/300,Pulse 6.5in Android Smartphone - All-Day Battery smartphones electronics Pulse all-day battery fast processor bright display Excellent quality and does exactly what it promises.
P000007,Vantage Compact 5G Phone - Expandable Storage,Vantage,electronics,smartphones,3.6,6143,323.47,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000007/300/300,"Vantage Compact 5G Phone - Expandable Storage smartphones electronics Vantage expandable storage sleek design great camera Good enough for the price, not amazing but does the job."
P000008,Meridian Budget Dual-SIM Phone - Bright Display,Meridian,electronics,smartphones,3.4,1122,10.89,"Good enough for the price, not amazing but does the job.",https://picsum.photos/seed/P000008/300/300,"Meridian Budget Dual-SIM Phone - Bright Display smartphones electronics Meridian bright display expandable storage all-day battery Good enough for the price, not amazing but does the job."
P000009,Meridian Flagship Camera Phone - All-Day Battery,Meridian,electronics,smartphones,3.9,4047,62.8,"Well made and reliable, would buy again without hesitation.",https://picsum.photos/seed/P000009/300/300,"Meridian Flagship Camera Phone - All-Day Battery smartphones electronics Meridian all-day battery expandable storage sleek design Well made and reliable, would buy again without hesitation."
P000010,Vantage Rugged Outdoor Phone - Fast Processor,Vantage,electronics,smartphones,4.5,4524,256.81,"Impressive build and performance, five stars from me.",https://picsum.photos/seed/P000010/300/300,"Vantage Rugged Outdoor Phone - Fast Processor smartphones electronics Vantage fast processor sleek design great camera Impressive build and performance, five stars from me."
